高於閾值？,人均 GDP,出生率資料桶,預期壽命,Co2 排放量,GDP,記錄數,人口 0-14,人口 15-64,人口 65+,人口總數,人均 GDP(資料桶),人均醫療費用,入境旅遊,出境旅遊,出生率,區域,經商便利度(叢集),國家/地區,城市人口,女性預期壽命,年份,新生兒死亡率,營業稅稅率,男性預期壽命,經商便利度,網際網路使用率,能源使用,行動電話使用率,貸款利率,辦稅小時數,醫療費用 % Gdp,開業天數
低於閾值,"$23,624",1.5-3%,77,,$78B,1,0.242,0.731,0.028,3.3M,"$23,440",$690,$2B,$2B,2.1%,中東,非常友好,Oman,76.2%,79,2012/12/1,0.01,22%,75,44,60%,,159%,0.057,62,2.6%,8
低於閾值,"$32,615",1.5-3%,82,,$258B,1,0.275,0.619,0.105,7.9M,"$28,128","$2,289",$6B,$5B,2.2%,中東,非常友好,Israel,91.9%,84,2012/12/1,0.003,29%,80,33,71%,24079,121%,0.056,235,7.5%,21
低於閾值,,1.5-3%,75,,,1,0.354,0.607,0.039,22.4M,,$105,,,2.4%,中東,低,Syria,56.5%,78,2012/12/1,0.012,40%,72,147,24%,,59%,,336,3.4%,13
低於閾值,"$4,909",1.5-3%,74,,$31B,1,0.341,0.624,0.035,6.3M,"$4,688",$388,$4B,$1B,2.8%,中東,中等,Jordan,83.0%,75,2012/12/1,0.017,28%,72,119,41%,,128%,0.088,151,9.8%,12
低於閾值,"$1,341",高於 3%,63,,$32B,1,0.407,0.565,0.028,23.9M,$0,$71,$1B,,3.1%,中東,中等,Yemen,32.9%,64,2012/12/1,0.042,33%,62,129,17%,,58%,0.245,248,5.5%,40
低於閾值,"$6,630",高於 3%,70,,$216B,1,0.405,0.562,0.033,32.6M,"$4,688",$226,$2B,$2B,3.1%,中東,低,Iraq,69.2%,73,2012/12/1,0.029,28%,66,155,7%,,82%,0.13,312,3.6%,29
低於閾值,"$25,190",低於 1.5%,79,1837,$12B,1,0.173,0.754,0.073,0.5M,"$23,440",,$8B,$1B,0.8%,亞洲,Not Clustered,Macao SAR,100.0%,81,2005/12/1,,,76,,35%,,114%,0.07,,,
低於閾值,"$26,713",低於 1.5%,82,40546,$182B,1,0.142,0.736,0.121,6.8M,"$23,440",,$14B,$13B,0.8%,亞洲,非常友好,Hong Kong SAR,100.0%,85,2005/12/1,,24%,79,,57%,12664,124%,0.078,80,,11
低於閾值,"$35,767",低於 1.5%,82,1238181,"$4,570B",1,0.138,0.663,0.198,127.8M,"$32,816","$2,928",$16B,$48B,0.8%,亞洲,非常友好,Japan,86.0%,85,2005/12/1,0.003,53%,79,,67%,520541,76%,0.017,315,8.2%,30
低於閾值,"$18,655",低於 1.5%,79,462918,$898B,1,0.191,0.716,0.093,48.1M,"$14,064",$988,$8B,$17B,0.9%,亞洲,非常友好,South Korea,81.3%,82,2005/12/1,0.005,35%,75,,74%,210176,82%,0.056,290,5.6%,17
低於閾值,"$29,772",低於 1.5%,81,30359,$127B,1,0.191,0.726,0.082,4.3M,"$28,128","$1,058",$6B,$10B,1.0%,亞洲,非常友好,Singapore,100.0%,83,2005/12/1,0.002,28%,78,,61%,21947,98%,0.053,80,3.8%,6
低於閾值,"$1,734",低於 1.5%,74,5790017,"$2,260B",1,0.205,0.718,0.077,"1,303.7M",$0,$80,$32B,$25B,1.2%,亞洲,友好,China,42.5%,75,2005/12/1,0.02,80%,73,,9%,1775677,30%,0.056,832,4.7%,48
低於閾值,"$2,685",低於 1.5%,73,256169,$176B,1,0.223,0.7,0.077,65.6M,$0,$95,$12B,$5B,1.3%,亞洲,非常友好,Thailand,37.5%,76,2005/12/1,0.015,38%,69,,15%,99166,47%,0.058,264,3.5%,33
低於閾值,"$1,470",低於 1.5%,73,5068,$6B,1,0.184,0.67,0.146,4.4M,$0,$123,$0B,$0B,1.3%,亞洲,非常友好,Georgia,52.5%,77,2005/12/1,0.022,57%,69,,6%,2841,26%,0.176,448,8.6%,21
低於閾值,"$1,625",低於 1.5%,74,4360,$5B,1,0.219,0.665,0.116,3.0M,$0,$85,$0B,$0B,1.4%,亞洲,非常友好,Armenia,64.2%,77,2005/12/1,0.021,37%,70,,5%,2512,11%,0.18,580,5.3%,18
低於閾值,,1.5-3%,69,83014,,1,0.247,0.678,0.074,23.8M,,,,,1.6%,亞洲,Not Clustered,North Korea,59.8%,72,2005/12/1,0.026,,65,,,21331,,,,,
低於閾值,"$1,578",1.5-3%,69,34338,$13B,1,0.26,0.676,0.064,8.4M,$0,$122,$0B,$0B,1.7%,亞洲,友好,Azerbaijan,52.4%,72,2005/12/1,0.044,46%,66,,8%,13427,26%,0.17,756,7.9%,113
低於閾值,$699,1.5-3%,75,97942,$58B,1,0.271,0.663,0.066,82.4M,$0,$36,$2B,$1B,1.7%,亞洲,友好,Vietnam,27.3%,80,2005/12/1,0.024,40%,70,,13%,41455,11%,0.11,"1,050",5.9%,45
低於閾值,"$3,771",1.5-3%,66,176947,$57B,1,0.247,0.677,0.076,15.1M,$0,$154,$1B,$1B,1.8%,亞洲,友好,Kazakhstan,54.7%,72,2005/12/1,0.029,44%,60,,3%,50805,36%,,271,4.1%,25
低於閾值,,1.5-3%,64,11613,,1,0.281,0.67,0.049,50.2M,,$5,$0B,$0B,1.9%,亞洲,低,Myanmar,28.9%,66,2005/12/1,0.051,,61,,0%,14817,0%,0.15,,2.1%,
低於閾值,"$1,242",1.5-3%,74,11643,$24B,1,0.254,0.675,0.07,19.6M,$0,$49,$1B,$1B,1.9%,亞洲,友好,Sri Lanka,18.4%,77,2005/12/1,0.012,57%,70,,2%,9001,17%,0.108,256,4.0%,48
低於閾值,"$5,572",1.5-3%,74,177373,$144B,1,0.302,0.654,0.044,25.8M,"$4,688",$179,$10B,$4B,1.9%,亞洲,非常友好,Malaysia,66.6%,76,2005/12/1,0.007,36%,72,,49%,63507,76%,0.06,190,3.2%,37
低於閾值,$999,1.5-3%,66,8647,$3B,1,0.289,0.673,0.037,2.5M,$0,$60,$0B,$0B,2.0%,亞洲,友好,Mongolia,62.5%,69,2005/12/1,0.037,40%,62,,,2625,22%,0.306,204,6.0%,13
低於閾值,$547,1.5-3%,68,111888,$14B,1,0.332,0.62,0.047,26.2M,$0,$28,$0B,,2.0%,亞洲,低,Uzbekistan,36.7%,71,2005/12/1,0.047,97%,64,,3%,46965,3%,,196,5.1%,29
低於閾值,"$25,914",1.5-3%,77,5126,$10B,1,0.289,0.679,0.032,0.4M,"$23,440",$671,$0B,$0B,2.0%,亞洲,友好,Brunei,73.5%,79,2005/12/1,0.007,,75,,37%,2217,63%,0.055,,2.6%,
低於閾值,$476,1.5-3%,68,5233,$2B,1,0.313,0.631,0.056,5.2M,$0,$28,$0B,$0B,2.1%,亞洲,友好,Kyrgyzstan,35.3%,72,2005/12/1,0.034,68%,64,,11%,2497,11%,0.266,202,5.8%,21
低於閾值,"$1,274",1.5-3%,69,341992,$286B,1,0.3,0.651,0.049,224.5M,$0,$36,$5B,$5B,2.1%,亞洲,中等,Indonesia,45.9%,71,2005/12/1,0.033,38%,67,,4%,179461,21%,0.141,560,2.8%,151
低於閾值,"$3,335",1.5-3%,74,700,$1B,1,0.343,0.611,0.046,0.3M,$0,$235,$1B,$0B,2.1%,亞洲,友好,Maldives,33.8%,75,2005/12/1,0.019,9%,73,,7%,225,68%,0.13,,7.0%,9
低於閾值,"$1,707",1.5-3%,65,45375,$8B,1,0.327,0.627,0.046,4.7M,$0,$107,,,2.3%,亞洲,Not Clustered,Turkmenistan,47.0%,69,2005/12/1,0.058,,60,,1%,19166,2%,,,3.0%,
低於閾值,$740,1.5-3%,65,1411128,$834B,1,0.322,0.631,0.047,"1,127.1M",$0,$32,$8B,$8B,2.3%,亞洲,中等,India,29.2%,66,2005/12/1,0.056,67%,63,,2%,539388,8%,0.108,264,4.2%,71
低於閾值,"$1,259",1.5-3%,64,396,$1B,1,0.34,0.619,0.041,0.7M,$0,$55,$0B,,2.3%,亞洲,低,Bhutan,31.0%,64,2005/12/1,0.045,41%,64,,4%,204,6%,0.14,274,4.3%,62
低於閾值,$421,1.5-3%,68,37554,$60B,1,0.343,0.614,0.043,143.1M,$0,$13,$0B,$0B,2.3%,亞洲,中等,Bangladesh,26.8%,68,2005/12/1,0.051,35%,67,,0%,23868,6%,0.14,400,3.2%,50
低於閾值,$471,1.5-3%,68,2776,$6B,1,0.361,0.595,0.044,13.4M,$0,$33,$1B,$0B,2.6%,亞洲,中等,Cambodia,19.2%,70,2005/12/1,0.052,22%,65,,0%,3436,8%,,137,6.9%,86
低於閾值,"$1,200",1.5-3%,68,74832,$103B,1,0.371,0.595,0.034,85.8M,$0,$47,$3B,$2B,2.7%,亞洲,中等,Philippines,46.6%,71,2005/12/1,0.028,47%,64,,5%,38756,41%,0.102,195,3.9%,47
低於閾值,$472,1.5-3%,65,1434,$3B,1,0.404,0.559,0.037,5.8M,$0,$20,$0B,$0B,2.8%,亞洲,低,Laos,27.4%,66,2005/12/1,0.07,35%,63,,1%,,11%,0.268,672,4.3%,153
低於閾值,$696,1.5-3%,65,136636,$110B,1,0.382,0.577,0.041,158.0M,$0,$22,$1B,$2B,2.8%,亞洲,中等,Pakistan,34.7%,66,2005/12/1,0.08,43%,64,,6%,76227,8%,0.091,560,3.2%,24
低於閾值,$321,1.5-3%,65,3242,$8B,1,0.395,0.561,0.044,25.3M,$0,$19,$0B,$0B,2.8%,亞洲,中等,Nepal,15.2%,66,2005/12/1,0.047,33%,64,,1%,9132,1%,0.081,408,5.7%,31
低於閾值,$340,高於 3%,66,2439,$2B,1,0.384,0.579,0.037,6.8M,$0,$16,$0B,$0B,3.0%,亞洲,中等,Tajikistan,26.4%,69,2005/12/1,0.054,80%,62,,0%,2342,4%,0.233,224,4.8%,80
低於閾值,$487,高於 3%,64,176,$0B,1,0.48,0.493,0.027,1.0M,$0,$33,,,3.8%,亞洲,低,Timor-Leste,26.3%,65,2005/12/1,0.065,48%,62,,0%,58,3%,0.167,640,7.3%,167
低於閾值,$252,高於 3%,57,1016,$6B,1,0.493,0.487,0.02,24.9M,$0,$21,,,4.5%,亞洲,低,Afghanistan,22.9%,58,2005/12/1,0.084,36%,56,,1%,,5%,,275,9.2%,9
低於閾值,"$30,364",低於 1.5%,79,1632,$15B,1,0.161,0.766,0.072,0.5M,"$28,128",,$10B,$1B,0.8%,亞洲,Not Clustered,Macao SAR,100.0%,81,2006/12/1,,,77,,46%,,133%,0.088,,,
低於閾值,"$20,880",低於 1.5%,79,470806,"$1,010B",1,0.186,0.718,0.097,48.4M,"$18,752","$1,201",$9B,$21B,0.9%,亞洲,非常友好,South Korea,81.5%,82,2006/12/1,0.005,31%,76,,78%,213600,85%,0.06,290,6.1%,17
低於閾值,"$34,128",低於 1.5%,83,1231302,"$4,360B",1,0.137,0.659,0.204,127.8M,"$32,816","$2,794",$11B,$38B,0.9%,亞洲,非常友好,Japan,87.1%,86,2006/12/1,0.003,53%,79,,69%,519807,79%,0.017,350,8.2%,22
低於閾值,"$33,626",低於 1.5%,81,30799,$148B,1,0.188,0.729,0.083,4.4M,"$32,816","$1,167",$8B,$11B,1.0%,亞洲,非常友好,Singapore,100.0%,83,2006/12/1,0.002,24%,78,,59%,23509,104%,0.053,80,3.7%,6
低於閾值,"$28,292",低於 1.5%,83,38555,$194B,1,0.137,0.74,0.123,6.9M,"$28,128",,$16B,$14B,1.0%,亞洲,非常友好,Hong Kong SAR,100.0%,86,2006/12/1,,24%,79,,61%,13330,137%,0.078,80,,11
低於閾值,"$3,142",低於 1.5%,73,261211,$207B,1,0.218,0.703,0.079,65.9M,$0,$110,$17B,$6B,1.2%,亞洲,非常友好,Thailand,38.8%,76,2006/12/1,0.015,37%,69,,17%,101043,61%,0.074,264,3.5%,33
低於閾值,"$2,067",低於 1.5%,75,6414463,"$2,710B",1,0.198,0.724,0.078,"1,311.0M",$0,$93,$37B,$28B,1.2%,亞洲,友好,China,43.9%,76,2006/12/1,0.019,81%,73,,11%,1938944,35%,0.061,832,4.6%,35
低於閾值,"$1,765",低於 1.5%,74,6150,$8B,1,0.179,0.674,0.147,4.4M,$0,$146,$0B,$0B,1.3%,亞洲,非常友好,Georgia,52.5%,77,2006/12/1,0.02,39%,70,,8%,3032,38%,0.171,387,8.4%,16
低於閾值,"$2,126",低於 1.5%,74,4382,$6B,1,0.214,0.67,0.116,3.0M,$0,$97,$0B,$0B,1.4%,亞洲,非常友好,Armenia,64.2%,77,2006/12/1,0.02,37%,70,,6%,2559,42%,0.165,580,4.6%,17
低於閾值,,1.5-3%,69,84557,,1,0.243,0.679,0.077,24.0M,,,,,1.5%,亞洲,Not Clustered,North Korea,59.9%,72,2006/12/1,0.026,,65,,,21544,,,,,
低於閾值,$797,1.5-3%,75,102456,$66B,1,0.263,0.672,0.066,83.3M,$0,$46,$3B,$1B,1.7%,亞洲,友好,Vietnam,27.9%,80,2006/12/1,0.023,40%,70,,17%,42475,22%,0.112,"1,050",6.5%,50
低於閾值,"$2,473",1.5-3%,70,39167,$21B,1,0.251,0.685,0.064,8.5M,$0,$149,$0B,$0B,1.8%,亞洲,友好,Azerbaijan,52.6%,72,2006/12/1,0.042,42%,67,,12%,13232,38%,0.179,"1,000",6.2%,51
低於閾值,"$6,191",1.5-3%,74,170648,$163B,1,0.297,0.659,0.045,26.3M,"$4,688",$222,$12B,$5B,1.8%,亞洲,非常友好,Malaysia,67.5%,76,2006/12/1,0.007,36%,72,,52%,63715,74%,0.065,190,3.6%,37
低於閾值,,1.5-3%,64,12611,,1,0.277,0.674,0.05,50.5M,,$5,$0B,$0B,1.9%,亞洲,低,Myanmar,29.4%,66,2006/12/1,0.049,,62,,0%,15015,0%,0.161,,2.0%,
低於閾值,"$1,423",1.5-3%,74,11738,$28B,1,0.253,0.675,0.072,19.9M,$0,$57,$1B,$1B,1.9%,亞洲,友好,Sri Lanka,18.4%,77,2006/12/1,0.011,60%,70,,3%,9083,27%,0.129,256,4.0%,48
低於閾值,"$30,613",1.5-3%,77,4822,$11B,1,0.285,0.683,0.033,0.4M,"$28,128",$680,$0B,$0B,1.9%,亞洲,友好,Brunei,73.9%,79,2006/12/1,0.007,37%,75,,42%,3152,80%,0.055,144,2.2%,116
低於閾值,"$5,292",1.5-3%,67,192532,$81B,1,0.245,0.68,0.075,15.3M,"$4,688",$210,$1B,$1B,2.0%,亞洲,友好,Kazakhstan,54.5%,72,2006/12/1,0.027,44%,61,,3%,61504,51%,,271,3.9%,21
低於閾值,"$1,334",1.5-3%,66,9498,$3B,1,0.282,0.681,0.037,2.6M,$0,$72,$0B,$0B,2.1%,亞洲,友好,Mongolia,63.5%,70,2006/12/1,0.035,40%,62,,,2925,30%,0.269,204,5.4%,13
低於閾值,$643,1.5-3%,68,116530,$17B,1,0.324,0.629,0.047,26.5M,$0,$35,$0B,,2.1%,亞洲,低,Uzbekistan,36.5%,71,2006/12/1,0.045,112%,64,,6%,48872,10%,,196,5.5%,29
低於閾值,"$1,603",1.5-3%,69,345120,$365B,1,0.3,0.651,0.049,227.7M,$0,$47,$5B,$5B,2.1%,亞洲,中等,Indonesia,46.7%,71,2006/12/1,0.032,38%,67,,5%,183726,28%,0.16,576,2.9%,97
低於閾值,"$4,304",1.5-3%,75,887,$1B,1,0.332,0.621,0.047,0.3M,$0,$287,$1B,$0B,2.1%,亞洲,友好,Maldives,35.0%,76,2006/12/1,0.017,9%,74,,11%,288,90%,0.13,,6.7%,9
低於閾值,"$2,140",1.5-3%,65,46256,$10B,1,0.319,0.636,0.045,4.8M,$0,$98,,,2.2%,亞洲,Not Clustered,Turkmenistan,47.3%,69,2006/12/1,0.057,,61,,1%,19628,5%,,,2.2%,
低於閾值,"$1,349",1.5-3%,65,392,$1B,1,0.329,0.629,0.041,0.7M,$0,$59,$0B,$0B,2.2%,亞洲,低,Bhutan,31.7%,65,2006/12/1,0.043,41%,65,,5%,211,12%,0.14,274,4.4%,62
低於閾值,$830,1.5-3%,65,1504365,$949B,1,0.318,0.634,0.048,"1,143.3M",$0,$33,$9B,$9B,2.3%,亞洲,中等,India,29.6%,66,2006/12/1,0.054,74%,63,,3%,567182,15%,0.112,264,4.0%,35
低於閾值,$543,1.5-3%,68,5145,$3B,1,0.308,0.638,0.054,5.2M,$0,$38,$0B,$0B,2.3%,亞洲,友好,Kyrgyzstan,35.3%,72,2006/12/1,0.033,67%,64,,12%,2450,25%,0.232,202,6.7%,21
低於閾值,$427,1.5-3%,68,48137,$62B,1,0.338,0.619,0.044,144.9M,$0,$14,$0B,$0B,2.3%,亞洲,中等,Bangladesh,27.5%,68,2006/12/1,0.048,35%,67,,1%,25332,13%,0.153,400,3.4%,50
低於閾值,$537,1.5-3%,68,3000,$7B,1,0.351,0.604,0.045,13.6M,$0,$29,$1B,$0B,2.6%,亞洲,中等,Cambodia,19.3%,71,2006/12/1,0.048,22%,65,,1%,3429,13%,,137,5.4%,86
低於閾值,$353,1.5-3%,65,2662,$9B,1,0.391,0.564,0.045,25.6M,$0,$20,$0B,$0B,2.7%,亞洲,中等,Nepal,15.5%,66,2006/12/1,0.044,33%,64,,1%,9131,5%,0.08,408,5.6%,31
低於閾值,"$1,396",1.5-3%,68,67693,$122B,1,0.367,0.598,0.035,87.4M,$0,$55,$4B,$2B,2.7%,亞洲,中等,Philippines,46.3%,71,2006/12/1,0.027,48%,64,,6%,38456,49%,0.098,195,4.0%,47
低於閾值,$851,1.5-3%,66,146075,$137B,1,0.376,0.583,0.042,160.9M,$0,$29,$1B,$2B,2.8%,亞洲,中等,Pakistan,35.1%,66,2006/12/1,0.079,42%,65,,7%,79345,21%,0.11,560,3.7%,24
低於閾值,$586,1.5-3%,65,1580,$3B,1,0.396,0.566,0.038,5.9M,$0,$25,$0B,$0B,2.9%,亞洲,低,Laos,28.5%,66,2006/12/1,0.068,35%,64,,1%,,17%,0.3,672,4.3%,123
低於閾值,$407,高於 3%,67,2655,$3B,1,0.376,0.587,0.037,7.0M,$0,$19,$0B,$0B,3.0%,亞洲,中等,Tajikistan,26.5%,70,2006/12/1,0.052,80%,63,,4%,2414,31%,0.144,224,4.8%,80
低於閾值,$463,高於 3%,64,180,$0B,1,0.478,0.494,0.028,1.0M,$0,$46,$0B,$0B,3.8%,亞洲,低,Timor-Leste,26.9%,65,2006/12/1,0.062,48%,62,,0%,59,5%,0.165,640,10.6%,167
低於閾值,$275,高於 3%,58,1338,$7B,1,0.493,0.487,0.02,25.6M,$0,$23,,,4.4%,亞洲,低,Afghanistan,23.2%,59,2006/12/1,0.082,36%,56,,2%,,10%,0.18,275,9.1%,9
低於閾值,"$36,607",低於 1.5%,80,1404,$18B,1,0.15,0.778,0.071,0.5M,"$32,816",,$14B,$1B,0.8%,亞洲,Not Clustered,Macao SAR,100.0%,82,2007/12/1,,,77,,47%,,161%,0.078,,,
低於閾值,"$34,124",低於 1.5%,83,1251136,"$4,360B",1,0.136,0.654,0.21,127.8M,"$32,816","$2,801",$12B,$37B,0.9%,亞洲,非常友好,Japan,88.0%,86,2007/12/1,0.003,53%,79,,74%,515198,84%,0.019,350,8.2%,22
低於閾值,"$23,046",低於 1.5%,80,495837,"$1,120B",1,0.18,0.72,0.1,48.6M,"$18,752","$1,379",$9B,$24B,1.0%,亞洲,非常友好,South Korea,81.6%,83,2007/12/1,0.004,30%,76,,79%,222147,93%,0.066,290,6.4%,17
低於閾值,"$39,228",低於 1.5%,81,17866,$180B,1,0.184,0.731,0.085,4.6M,"$37,504","$1,333",$9B,$13B,1.0%,亞洲,非常友好,Singapore,100.0%,83,2007/12/1,0.002,23%,78,,70%,21819,125%,0.053,80,3.5%,5
低於閾值,"$30,652",低於 1.5%,82,39963,$212B,1,0.132,0.744,0.124,6.9M,"$28,128",,$18B,$15B,1.0%,亞洲,非常友好,Hong Kong SAR,100.0%,85,2007/12/1,,24%,79,,65%,14338,155%,0.068,80,,11
低於閾值,"$3,738",低於 1.5%,73,262205,$247B,1,0.212,0.707,0.082,66.1M,$0,$133,$21B,$7B,1.2%,亞洲,非常友好,Thailand,40.1%,76,2007/12/1,0.014,37%,70,,20%,104886,80%,0.071,264,3.6%,33
低於閾值,"$2,648",低於 1.5%,75,6791805,"$3,490B",1,0.192,0.729,0.079,"1,317.9M",$0,$113,$41B,$33B,1.2%,亞洲,友好,China,45.2%,76,2007/12/1,0.017,81%,73,,16%,2044606,41%,0.075,832,4.4%,35
低於閾值,"$2,318",低於 1.5%,74,6190,$10B,1,0.176,0.678,0.146,4.4M,$0,$188,$0B,$0B,1.3%,亞洲,非常友好,Georgia,52.6%,77,2007/12/1,0.019,39%,70,,8%,3341,59%,0.171,387,8.2%,11
低於閾值,"$3,079",低於 1.5%,74,5068,$9B,1,0.211,0.676,0.114,3.0M,$0,$133,$0B,$0B,1.4%,亞洲,非常友好,Armenia,64.1%,77,2007/12/1,0.019,39%,70,,6%,2853,63%,0.175,581,4.3%,17
低於閾值,,1.5-3%,69,70370,,1,0.239,0.681,0.08,24.1M,,,,,1.5%,亞洲,Not Clustered,North Korea,60.0%,72,2007/12/1,0.026,,65,,,18300,,,,,
低於閾值,$919,1.5-3%,75,113651,$77B,1,0.254,0.68,0.066,84.2M,$0,$58,$4B,$1B,1.7%,亞洲,友好,Vietnam,28.5%,80,2007/12/1,0.022,40%,70,,21%,45777,52%,0.112,"1,050",7.1%,39
低於閾值,"$3,851",1.5-3%,70,41426,$33B,1,0.243,0.693,0.063,8.6M,$0,$192,$0B,$0B,1.8%,亞洲,友好,Azerbaijan,52.8%,73,2007/12/1,0.039,41%,67,,15%,12113,52%,0.191,952,5.1%,36
低於閾值,"$7,235",1.5-3%,74,205308,$194B,1,0.292,0.663,0.045,26.8M,"$4,688",$256,$18B,$7B,1.8%,亞洲,非常友好,Malaysia,68.4%,76,2007/12/1,0.007,36%,72,,56%,69970,87%,0.064,166,3.5%,31
低於閾值,"$32,109",1.5-3%,78,10176,$12B,1,0.28,0.686,0.033,0.4M,"$28,128",$738,$0B,$0B,1.8%,亞洲,友好,Brunei,74.3%,79,2007/12/1,0.008,37%,76,,45%,3227,96%,0.055,144,2.3%,116
低於閾值,,1.5-3%,64,12636,,1,0.272,0.678,0.05,50.8M,,$7,$0B,$0B,1.9%,亞洲,低,Myanmar,29.9%,66,2007/12/1,0.048,,62,,0%,15595,1%,0.17,,1.9%,
低於閾值,"$1,614",1.5-3%,74,12457,$32B,1,0.252,0.675,0.073,20.0M,$0,$59,$1B,$1B,1.9%,亞洲,友好,Sri Lanka,18.4%,77,2007/12/1,0.011,62%,70,,4%,9261,39%,0.171,256,3.7%,40
低於閾值,"$6,781",1.5-3%,67,220313,$105B,1,0.244,0.682,0.073,15.5M,"$4,688",$233,$1B,$1B,2.1%,亞洲,友好,Kazakhstan,54.3%,73,2007/12/1,0.025,41%,61,,4%,66231,80%,,271,3.4%,21
低於閾值,"$1,870",1.5-3%,69,375545,$432B,1,0.3,0.651,0.049,231.0M,$0,$58,$6B,$7B,2.1%,亞洲,中等,Indonesia,47.5%,71,2007/12/1,0.031,38%,67,,6%,182885,40%,0.139,266,3.1%,105
低於閾值,"$2,607",1.5-3%,65,53516,$13B,1,0.311,0.645,0.044,4.9M,$0,$113,,,2.2%,亞洲,Not Clustered,Turkmenistan,47.6%,69,2007/12/1,0.055,,61,,1%,22367,8%,,,2.1%,
低於閾值,"$1,632",1.5-3%,66,10092,$4B,1,0.276,0.686,0.038,2.6M,$0,$93,$0B,$0B,2.2%,亞洲,友好,Mongolia,64.6%,70,2007/12/1,0.033,40%,62,,9%,3114,46%,0.218,204,5.7%,13
低於閾值,"$1,070",1.5-3%,65,1611404,"$1,240B",1,0.314,0.638,0.049,"1,159.1M",$0,$40,$11B,$11B,2.2%,亞洲,中等,India,29.9%,66,2007/12/1,0.052,73%,63,,4%,604659,20%,0.13,271,3.9%,33
低於閾值,"$1,761",1.5-3%,66,392,$1B,1,0.32,0.638,0.042,0.7M,$0,$88,$0B,$0B,2.2%,亞洲,低,Bhutan,32.5%,66,2007/12/1,0.041,41%,65,,6%,244,22%,0.14,274,5.0%,48
低於閾值,$467,1.5-3%,69,48467,$68B,1,0.333,0.623,0.044,146.5M,$0,$16,$0B,$1B,2.2%,亞洲,中等,Bangladesh,28.2%,69,2007/12/1,0.046,37%,68,,2%,26626,24%,0.16,400,3.5%,74
低於閾值,"$5,003",1.5-3%,76,917,$2B,1,0.322,0.63,0.048,0.3M,"$4,688",$315,$2B,$0B,2.2%,亞洲,友好,Maldives,36.3%,77,2007/12/1,0.015,9%,74,,16%,299,102%,0.13,,6.3%,9
低於閾值,$830,1.5-3%,68,116944,$22B,1,0.317,0.637,0.046,26.9M,$0,$46,$0B,,2.3%,亞洲,低,Uzbekistan,36.4%,71,2007/12/1,0.044,90%,64,,8%,48718,21%,,196,5.4%,15
低於閾值,$722,1.5-3%,68,5871,$4B,1,0.304,0.644,0.052,5.3M,$0,$51,$0B,$0B,2.3%,亞洲,友好,Kyrgyzstan,35.3%,72,2007/12/1,0.032,61%,64,,14%,2726,42%,0.253,202,6.9%,21
低於閾值,"$1,677",1.5-3%,68,69669,$149B,1,0.364,0.601,0.035,88.9M,$0,$65,$6B,$2B,2.6%,亞洲,中等,Philippines,46.1%,71,2007/12/1,0.027,49%,64,,6%,38514,65%,0.087,195,3.9%,47
低於閾值,$398,1.5-3%,66,2699,$10B,1,0.387,0.566,0.046,26.0M,$0,$23,$0B,$0B,2.6%,亞洲,中等,Nepal,15.8%,67,2007/12/1,0.042,33%,65,,1%,9308,13%,0.08,408,5.5%,31
低於閾值,$628,1.5-3%,69,3484,$9B,1,0.341,0.612,0.046,13.7M,$0,$28,$1B,$0B,2.6%,亞洲,中等,Cambodia,19.4%,72,2007/12/1,0.045,22%,66,,1%,3482,19%,,137,4.5%,86
低於閾值,$927,1.5-3%,66,158895,$152B,1,0.37,0.588,0.042,163.9M,$0,$31,$1B,$2B,2.8%,亞洲,中等,Pakistan,35.4%,66,2007/12/1,0.078,40%,65,,7%,83538,38%,0.118,560,3.5%,24
低於閾值,$702,1.5-3%,66,1668,$4B,1,0.389,0.574,0.037,6.0M,$0,$29,$0B,$0B,2.9%,亞洲,低,Laos,29.7%,67,2007/12/1,0.065,35%,64,,2%,,25%,0.285,672,4.2%,93
低於閾值,$523,高於 3%,67,3223,$4B,1,0.37,0.594,0.036,7.1M,$0,$28,$0B,$0B,3.1%,亞洲,中等,Tajikistan,26.5%,70,2007/12/1,0.05,80%,63,,7%,2583,30%,0.227,224,5.3%,62
低於閾值,$550,高於 3%,65,183,$1B,1,0.477,0.494,0.029,1.0M,$0,$41,$0B,$0B,3.7%,亞洲,低,Timor-Leste,27.6%,66,2007/12/1,0.059,48%,63,,0%,61,8%,0.15,640,8.0%,158
低於閾值,$374,高於 3%,58,1991,$10B,1,0.492,0.487,0.021,26.3M,$0,$30,,,4.2%,亞洲,低,Afghanistan,23.6%,59,2007/12/1,0.08,36%,57,,2%,,18%,0.181,275,10.0%,9
低於閾值,"$40,847",低於 1.5%,80,1192,$21B,1,0.141,0.788,0.071,0.5M,"$37,504",,$17B,$1B,0.9%,亞洲,Not Clustered,Macao SAR,100.0%,82,2008/12/1,,,77,,49%,,184%,0.054,,,
低於閾值,"$20,430",低於 1.5%,80,508052,"$1,000B",1,0.174,0.722,0.104,48.9M,"$18,752","$1,253",$13B,$21B,0.9%,亞洲,非常友好,South Korea,81.7%,83,2008/12/1,0.004,33%,77,,81%,226946,95%,0.072,250,6.6%,17
低於閾值,"$37,978",低於 1.5%,83,1206916,"$4,850B",1,0.135,0.649,0.216,127.7M,"$37,504","$3,259",$14B,$39B,0.9%,亞洲,非常友好,Japan,88.9%,86,2008/12/1,0.003,55%,79,,75%,495352,87%,0.019,355,8.6%,22
